POC_Code,Gen_Code,Fuel_Code
ARA2201,aratiatia,Hydro
ARG1101,argyle_wairau,Hydro
ARI1101,arapuni,Hydro
ARI1102,arapuni,Hydro
ASB0661,highbank,Hydro
ATI2201,atiamuri,Hydro
AVI2201,aviemore,Hydro
BEN2202,benmore,Hydro
BPE0331,twf_12,Wind
BWK1101,waipori,Hydro
COL0661,coleridge,Hydro
CYD0331,teviot,Hydro
CYD2201,clyde,Hydro
HWA1101,patea,Hydro
KPO1101,karapiro,Hydro
LTN0331,twf_12,Wind
LTN2201,turitea,Wind
MAN2201,manapouri,Hydro
MAT1101,aniwhenua,Hydro
MHO0331,mangahao,Hydro
MTI2201,maraetai,Hydro
NMA0331,white_hill,Wind
NSY0331,paerau,Hydro
OHA2201,ohau_a,Hydro
OHB2201,ohau_b,Hydro
OHC2201,ohau_c,Hydro
OHK2201,ohakuri,Hydro
ROT1101,wheao_flaxy,Hydro
ROX1101,roxburgh,Hydro
ROX2201,roxburgh,Hydro
RPO2201,rangipo,Hydro
STK0661,cobb,Hydro
TGA0331,kaimai,Hydro
TKA0111,tekapo_a,Hydro
TKB2201,tekapo_b,Hydro
TKU2201,tokaanu,Hydro
TUI1101,waikaremoana,Hydro
TWC2201,te_rere_hau,Wind
TWC2201,twf_3,Wind
TWH0331,te_uku,Wind
WDV1101,te_apiti,Wind
WKM2201,whakamaru,Hydro
WPA2201,waipapa,Hydro
WPG0331,waipori,Hydro
WTK0111,waitaki,Hydro
WVY1101,waipipi,Wind
WWD1102,west_wind,Wind
WWD1103,west_wind,Wind
